ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T21:28:00.000,0.6413,-0.7493,0.1342,-55.61,120.57,177.77
2019-06-23T21:29:00.000,0.6433,-0.7473,0.1312,-55.50,120.54,181.94
2019-06-23T21:30:00.000,0.6433,-0.7473,0.1332,-53.74,121.45,182.82
2019-06-23T21:31:00.000,0.6423,-0.7483,0.1322,-56.42,118.70,180.27
2019-06-23T21:32:00.000,0.6424,-0.7443,0.1321,-58.97,120.52,182.69
2019-06-23T21:33:00.000,0.6414,-0.7473,0.1292,-54.68,118.70,180.31
2019-06-23T21:34:00.000,0.6443,-0.7473,0.1322,-55.55,119.63,180.28
2019-06-23T21:35:00.000,0.6414,-0.7473,0.1321,-57.29,120.55,180.23
2019-06-23T21:36:00.000,0.6423,-0.7452,0.1341,-55.59,117.79,178.63
2019-06-23T21:37:00.000,0.6453,-0.7453,0.1322,-58.16,119.62,180.22
2019-06-23T21:38:00.000,0.6463,-0.7462,0.1332,-54.72,118.72,178.64
2019-06-23T21:39:00.000,0.6453,-0.7452,0.1341,-56.40,120.54,181.09
2019-06-23T21:40:00.000,0.6443,-0.7473,0.1332,-55.50,121.46,181.94
2019-06-23T21:41:00.000,0.6433,-0.7462,0.1341,-55.59,119.64,178.61
2019-06-23T21:42:00.000,0.6443,-0.7452,0.1331,-56.46,120.56,178.58
2019-06-23T21:43:00.000,0.6433,-0.7483,0.1322,-57.27,120.54,181.07
2019-06-23T21:44:00.000,0.6423,-0.7493,0.1342,-57.25,119.61,181.91
2019-06-23T21:45:00.000,0.6453,-0.7463,0.1322,-54.74,119.65,177.80
2019-06-23T21:46:00.000,0.6443,-0.7503,0.1322,-56.40,118.69,181.10
2019-06-23T21:47:00.000,0.6433,-0.7472,0.1342,-56.40,120.54,181.09
2019-06-23T21:48:00.000,0.6423,-0.7462,0.1341,-53.81,117.78,180.34
2019-06-23T21:49:00.000,0.6414,-0.7453,0.1301,-53.91,119.66,176.15
2019-06-23T21:50:00.000,0.6433,-0.7453,0.1331,-52.86,120.53,182.85
2019-06-23T21:51:00.000,0.6414,-0.7453,0.1331,-55.57,117.78,179.46
2019-06-23T21:52:00.000,0.6424,-0.7463,0.1311,-52.93,120.55,180.34
2019-06-23T21:53:00.000,0.6414,-0.7463,0.1321,-55.52,120.54,181.11
2019-06-23T21:54:00.000,0.6434,-0.7473,0.1302,-56.40,118.69,181.10
2019-06-23T21:55:00.000,0.6414,-0.7452,0.1341,-57.27,120.54,181.07
2019-06-23T21:56:00.000,0.6433,-0.7472,0.1342,-55.53,117.77,181.13
2019-06-23T21:57:00.000,0.6443,-0.7473,0.1322,-54.72,121.49,178.62
2019-06-23T21:58:00.000,0.6453,-0.7462,0.1342,-55.53,119.62,181.12
2019-06-23T21:59:00.000,0.6433,-0.7463,0.1322,-56.40,119.62,181.09
2019-06-23T22:00:00.000,0.6433,-0.7463,0.1322,-55.57,119.63,179.45
2019-06-23T22:01:00.000,0.6423,-0.7452,0.1341,-56.40,119.62,181.09
2019-06-23T22:02:00.000,0.6433,-0.7493,0.1342,-54.68,118.70,180.31
2019-06-23T22:03:00.000,0.6423,-0.7473,0.1331,-58.23,118.72,177.72
2019-06-23T22:04:00.000,0.6433,-0.7462,0.1341,-56.42,118.70,180.27
2019-06-23T22:05:00.000,0.6423,-0.7493,0.1322,-57.34,119.64,178.57
2019-06-23T22:06:00.000,0.6414,-0.7462,0.1341,-54.66,116.85,181.16
2019-06-23T22:07:00.000,0.6433,-0.7462,0.1361,-52.93,121.48,180.33
2019-06-23T22:08:00.000,0.6433,-0.7473,0.1332,-55.53,118.69,181.12
2019-06-23T22:09:00.000,0.6443,-0.7463,0.1312,-59.06,119.63,179.36
2019-06-23T22:10:00.000,0.6443,-0.7462,0.1342,-57.29,118.70,180.24
2019-06-23T22:11:00.000,0.6443,-0.7452,0.1331,-56.49,116.87,177.78
2019-06-23T22:12:00.000,0.6414,-0.7462,0.1341,-57.29,118.70,180.24
2019-06-23T22:13:00.000,0.6433,-0.7483,0.1312,-56.37,120.53,181.92
2019-06-23T22:14:00.000,0.6424,-0.7463,0.1311,-55.57,118.71,179.45
2019-06-23T22:15:00.000,0.6404,-0.7463,0.1321,-57.31,120.55,179.40
2019-06-23T22:16:00.000,0.6424,-0.7493,0.1312,-57.25,119.61,181.91
2019-06-23T22:17:00.000,0.6423,-0.7483,0.1332,-55.52,120.54,181.11
2019-06-23T22:18:00.000,0.6423,-0.7453,0.1331,-56.40,116.85,181.12
2019-06-23T22:19:00.000,0.6404,-0.7462,0.1351,-56.42,119.62,180.26
2019-06-23T22:20:00.000,0.6433,-0.7463,0.1312,-54.65,118.70,181.15
2019-06-23T22:21:00.000,0.6463,-0.7483,0.1312,-56.42,121.47,180.25
2019-06-23T22:22:00.000,0.6404,-0.7483,0.1321,-56.33,117.75,183.61
